record_id,customer_id,document_type,document_number,issuing_country,issue_date,expiration_date,verification_status,missing_field
R053,C041,Utility Bill,DOC-75382,India,2023-04-05,2033-04-02,Pending,Expiration Date
R054,C009,Utility Bill,DOC-76294,Singapore,2025-02-07,2035-02-05,Pending,None
R055,C003,Driver License,DOC-72043,Germany,2021-09-22,2022-09-22,Verified,Address
R056,C034,Driver License,DOC-15279,United States,2021-09-01,2025-06-19,Verified,None
R057,C051,Driver License,DOC-13667,Canada,2022-09-17,2027-09-16,Failed,Address
R058,C014,Driver License,DOC-47156,Singapore,2023-05-14,2024-05-13,Pending,None
R059,C027,Utility Bill,DOC-47156,Germany,2021-01-05,2022-01-05,Verified,None
R060,C054,Driver License,DOC-72289,Canada,2024-03-04,2034-03-02,Failed,Address
R061,C010,State ID,DOC-68861,United States,2024-07-27,2034-07-25,Failed,Document Number
R062,C035,Passport,DOC-54433,Singapore,2024-09-22,2034-09-20,Pending,Address
R063,C037,State ID,DOC-13251,Germany,2022-07-23,2023-07-23,Verified,Document Number
R064,C037,Driver License,DOC-16930,India,2024-08-11,2025-10-18,Failed,Expiration Date
R065,C002,State ID,DOC-33559,Canada,2021-02-08,2022-02-08,Verified,Expiration Date
R066,C038,Passport,DOC-62664,India,2024-12-16,2025-09-20,Verified,None
R067,C025,State ID,DOC-51599,United States,2022-11-28,2025-01-28,Verified,Expiration Date
R068,C050,Passport,DOC-43496,Canada,2021-07-23,2023-07-23,Verified,None
R069,C020,Utility Bill,DOC-17667,United States,2023-04-15,2025-06-06,Verified,None
R070,C053,Passport,DOC-59219,United States,2021-10-19,2031-10-17,Verified,None
R071,C008,State ID,DOC-60469,United States,2022-05-06,2024-05-05,Verified,Expiration Date
R072,C002,State ID,DOC-40636,Germany,2023-08-10,2025-01-14,Failed,Document Number
R073,C051,Driver License,DOC-95400,United Kingdom,2024-10-14,2025-10-14,Failed,Expiration Date
R074,C024,Driver License,DOC-28660,Canada,2023-04-14,2025-11-17,Failed,None
R075,C042,Driver License,DOC-47912,United States,2023-05-18,2025-08-27,Verified,Expiration Date
R076,C023,Driver License,DOC-59827,Germany,2023-09-15,2028-09-13,Failed,Document Number
R077,C006,Utility Bill,DOC-49405,Singapore,2022-07-31,2025-09-19,Verified,None
R078,C033,State ID,DOC-90012,Singapore,2021-10-14,2026-10-13,Verified,None
R079,C018,Driver License,DOC-69338,Singapore,2024-07-24,2029-07-23,Verified,Document Number
R080,C002,Driver License,DOC-53051,Singapore,2022-12-01,2024-11-30,Verified,Expiration Date
